contract_address,total_interactions,unique_safe_users
0xd9db270c1b5e3bd161e8c8503c55ceabee709552,1.4228658e+07,180038
0x41675c099f32341bf84bfc5382af534df5c7461a,622354,28588
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,436050,22117
0xdac17f958d2ee523a2206206994597c13d831ec7,310855,14197
0xf48f2b2d2a534e402487b3ee7c18c33aec0fe5e4,246582,7973
0x34cfac646f301356faa8b21e94227e3583fe3f5f,221969,6571
0x3e5c63644e683549055b9be8653de26e0b4cd36e,164030,3377
0x40a2accbd92bca938b02010e17a5b8929b49130d,154674,22889
0x2f55e8b20d0b9fefa187aa7d00b6cbe563605bf5,80978,1164
0x29fcb43b46531bca003ddc8fcb67ffe91900c762,74969,2093
0x9008d19f58aabd9ed0d60971565aa8510560ab41,74430,8674
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,64176,8241
0xfb1bffc9d739b8d520daf37df666da4c687191ea,46724,1329
0xfe0c30065b384f05761f15d0cc899d4f9f9cc0eb,40937,346
0x5afe3855358e112b5647b952709e6165e1c1eeee,35606,7471
0x6b175474e89094c44da98b954eedeac495271d0f,34056,4208
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,33662,511
0xa238cbeb142c10ef7ad8442c6d1f9e89e07e7761,32726,4154
0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,29547,2359
0x514910771af9ca656af840dff83e8264ecf986ca,29307,1167
0xfd0732dc9e303f09fcef3a7388ad10a83459ec99,25230,911
0x74312363e45dcaba76c59ec49a7aa8a65a67eed3,25150,7
0x5b1e769e74fd7e532a48261ab42ee906f0090556,24853,12
0xc0fde70a65c7569fe919be57492228dee8cdb585,22981,6464
0xce7a977cac4a481bc84ac06b2da0df614e621cf3,22876,1935
0xbd89a1ce4dde368ffab0ec35506eece0b1ffdc54,20663,20663
0xa0b937d5c8e32a80e3a8ed4227cd020221544ee6,20172,8164
0xf0fc40a635a907ac93924f2d8c36b3e87afef52e,19547,2
0x8629bcd3b8a90fd7247f0c0e0e1434c69dadcca7,19337,2
0x9641d764fc13c8b624c04430c7356c1c7c8102e2,14934,3709
0xc36442b4a4522e871399cd717abdd847ab11fe88,14266,1033
0xa65387f16b013cf2af4605ad8aa5ec25a2cba3a2,14214,3283
0x8d29be29923b68abfdd21e541b9374737b49cdad,13961,2583
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,13926,2143
0xaea46a60368a7bd060eec7df8cba43b7ef41ad85,13299,127
0x0501b9188436e35bb10f35998c40adc079003866,13147,4
0xa581c4a4db7175302464ff3c06380bc3270b4037,12913,1989
0xf203ca1769ca8e9e8fe1da9d147db68b6c919817,12669,21
0x241085d7772e12740d6b1420043f04c51cb3b45a,12515,2
0xc71b5f631354be6853efe9c3ab6b9590f8302e81,11855,71
0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,11560,2235
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,10917,1511
0x7b744eea1deca2f1b7b31f15ba036fa1759452d7,10893,5
0xdd3b11ef34cd511a2da159034a05fcb94d806686,10670,14
0xb0415d55f2c87b7f99285848bd341c367feac1ea,10551,2
0x2ee96cf53ae5fbd5309284704f978d0ca66cb963,9857,1462
0xae7ab96520de3a18e5e111b5eaab095312d7fe84,9840,2249
0x5029336642814bc51a42ba80bf83a6322110035d,9806,1338
0xd7d9babf56a66daff2ac5dc96f7e886c05124676,9627,4
0x4c98af741e352c6551bff9509b3f8ca9dd4e6397,9237,73
0xf7b6b32492c2e13799d921e84202450131bd238b,8968,13
0x38869bf66a61cf6bdb996a6ae40d5853fd43b526,8864,4391
0x0ec78ed49c2d27b315d462d43b5bab94d2c79bf8,8771,24
0x901d383c37b30cefad9b6e2bbb0539a40e02c5f4,8411,1166
0xb8e6d31e7b212b2b7250ee9c26c56cebbfbe6b23,8150,1
0x1111111254eeb25477b68fb85ed929f73a960582,7910,2082
0x05466fc96ba8dbb4b0f3f360adfdd7c14e828a5f,7563,295
0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,7455,2096
0xd5d82b6addc9027b22dca772aa68d5d74cdbdf44,7056,153
0x9e3b5582b22e3835896368017baff6d942a41cd9,6845,3
0xb17548c7b510427baac4e267bea62e800b247173,6829,88
0x2d94aa3e47d9d5024503ca8491fce9a2fb4da198,6764,83
0xaabc3aef1ce0d23eeaabfc7c6cd9043fcebf7400,6005,4
0xfdafc9d1902f4e0b84f65f49f244b32b31013b74,5907,1167
0xdef1ca1fb7fbcdc777520aa7f396b4e015f497ab,5869,298
0xba3335588d9403515223f109edc4eb7269a9ab5d,5654,96
0xc3d688b66703497daa19211eedff47f25384cdc3,5536,409
0x4095f064b8d3c3548a3bebfd0bbfd04750e30077,5523,794
0x8fb66f38cf86a3d5e8768f8f1754a24a6c661fb8,5312,6
0x52b87a21a4aaa1e1fb2a1d6709ff8192137b0dfa,5306,1604
0x61a35258107563f6b6f102ae25490901c8760b12,5283,3
0xa3ee21c306a700e682abcdfe9baa6a08f3820419,5149,28
0x308861a430be4cce5502d0a12724771fc6daf216,5129,222
0x6851d6fdfafd08c0295c392436245e5bc78b0185,5053,336
0x30d20208d987713f46dfd34ef128bb16c404d10f,5007,123
0xaf5191b0de278c7286d6c7cc6ab6bb8a73ba2cd6,4772,139
0x675b68aa4d9c2d3bb3f0397048e62e6b7192079c,4623,29
0x3250577e12b9469915c1fa3a71c22817ca44c4d9,4545,5
0xf939e0a03fb07f59a73314e73794be0e57ac1b4e,4519,493
0x2b9dc65253c035eb21778cb3898eab5a0ada0cce,4502,171
0x51c72848c68a965f66fa7a88855f9f7784502a7f,4495,1
0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,4460,1412
0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb,4392,349
0x6ee2f71049dde9a93b7c0ee1091b72acf9b46810,4338,1
0x91b3fccea2f2e0622cc1fb54e12f5ac5aaa55a87,4320,815
0x29b97f37b3e0c704bcfd785f5b7bba2a0b7df2c7,4297,1
0x888888888889758f76e7103c6cbf23abbf58f946,4235,588
0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,4215,569
0x0000000000e655fae4d56241588680f86e3b2377,4192,8
0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,3965,389
0xc13e21b648a5ee794902342038ff3adab66be987,3872,249
0x7079ba1bd00eefcd2a260bbd6d088230505e3858,3818,802
0xb131f4a55907b10d1f0a50d8ab8fa09ec342cd74,3728,91
0xa03400e098f4421b34a3a44a1b4e571419517687,3686,1
0x4d224452801aced8b2f0aebe155379bb5d594381,3679,426
0x03261a78402c139dc73346f13cd2cb301105efa3,3665,1
0xc351e45db65d68585e180795537563d33b3716e7,3653,845
0xcfbfac74c26f8647cbdb8c5caf80bb5b32e43134,3613,772
0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206,3608,18
0x7f312a75b62846033bc5471c5bcb94b1abfaf06d,3543,7
