Rank,Token Name,Interactions,Unique Safes,Address
1,Tether USD,96,35,0xdac17f958d2ee523a2206206994597c13d831ec7
2,HEX Token,36,1,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39
3,Dai Stablecoin,22,12,0x6b175474e89094c44da98b954eedeac495271d0f
4,Compound,22,6,0xc00e94cb662c3520282e6f5717214004a7f26888
5,Lido,20,6,0x17144556fd3424edc8fc8a4c940b2d04936d17eb
6,Convex Token,19,5,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b
7,Rocket Pool ETH,11,3,0xae78736cd615f374d3085123a210448e74fc6393
8,Curve DAO Token,10,5,0xd533a949740bb3306d119cc777fa900ba034cd52
9,Orion Token,9,2,0x0258f474786ddfd37abce6df6bbb1dd5dfc4434a
10,Aave Interest Token,9,3,0x7effd7b47bfd17e52fb7559d3f924201b9dbff3d
